date,bag,sample,width.mm,length.mm,notes
20240722,47,1,17.527,20.645,prelim testing
20240722,47,2,21.55,29.724,
20240722,47,3,16.744,26.33,
20240722,47,4,13.621,18.914,
20240722,47,5,15.074,29.462,
20240722,47,6,16.993,20.824,
20240722,47,7,13.513,22.458,
20240722,47,8,14.009,20.461,
20240722,47,9,17.046,21.69,
20240722,47,10,15.861,23.76,
20240722,47,11,15.229,25.232,
20240722,47,12,15.452,23.753,
20240722,47,13,17.941,31.404,
20240722,47,14,15.61,21.539,
20240722,47,15,15.004,21.157,
20240722,47,16,13.974,21.668,
20240722,47,17,15.346,20.851,
20240722,47,18,17.997,22.626,
20240722,47,19,16.061,16.409,
20240722,47,20,15.127,18.547,
20240722,47,21,17.845,22.458,
20240722,47,22,19.157,21.854,
20240722,47,23,16.12,28.961,
20240722,47,24,15.999,18.944,
20240722,47,25,14.152,23.32,
20240722,47,26,16.725,31.494,
20240722,47,27,14.558,19.106,
20240722,47,28,14.417,19.293,
20240722,47,29,17.887,32.102,
20240722,47,30,14.558,21.096,
20240722,47,31,18.337,25.132,
20240722,47,32,18.096,28.646,
20240722,47,33,15.105,30.345,
20240722,47,34,18.345,27.604,
20240722,47,35,18.746,23.629,
20240722,47,36,16.039,29.361,
20240722,47,37,20.94,25.105,
20240722,47,38,20.202,33.411,
20240722,47,39,17.644,22.488,
20240722,47,40,15.535,22.306,
20240724,36,1,19.135,24.583,
20240724,36,2,15.972,29.053,
20240724,36,3,20.733,24.425,
20240724,36,4,19.228,21.565,
20240724,36,5,17.843,27.897,
20240724,36,6,19.149,31.321,
20240724,36,7,16.728,26.52,
20240724,36,8,17.066,29.485,
20240724,36,9,21.603,25.207,
20240724,36,10,18.907,29.185,
20240724,36,11,17.876,24.511,
20240724,36,12,22.144,27.698,
20240724,36,13,16.549,25.469,
20240724,36,14,19.488,23.38,
20240724,36,15,17.275,24.315,
20240724,36,16,19.971,32.492,
20240724,36,17,18.348,23.127,
20240724,36,18,14.039,25.324,
20240724,36,19,19.366,25.256,
20240724,36,20,17.053,24.379,
20240724,36,21,21.322,30.988,
20240724,36,22,18.556,23.56,
20240724,36,23,20.78,30.681,
20240724,36,24,17.029,23.043,
20240724,36,25,20.201,24.503,
20240724,36,26,17.512,25.89,
20240724,36,27,17.204,33.187,
20240724,36,28,21.07,28.186,
20240724,36,29,19.048,27.448,
20240724,36,30,19.723,23.024,
20240724,36,31,18.278,24.199,
20240724,36,32,21.588,28.209,
20240724,36,33,20.927,29.016,
20240724,36,34,20.099,29.208,
20240724,36,35,22.657,29.326,
20240724,36,36,17.964,23.376,
20240724,36,37,19.68,29.248,
20240724,36,38,20.675,29.537,
20240724,36,39,19.264,30.742,
20240724,36,40,21.738,32.107,
20240725,66,1,17.303,24.434,
20240725,66,2,22.608,29.727,
20240725,66,3,17.589,26.514,
20240725,66,4,17.146,24.227,
20240725,66,5,17.918,28.775,
20240725,66,6,13.135,23.105,
20240725,66,7,15.856,24.349,
20240725,66,8,18.246,24.315,
20240725,66,9,13.054,20.075,
20240725,66,10,18.422,28.407,
20240725,66,11,18.707,22.564,
20240725,66,12,17.084,20.663,
20240725,66,13,19.153,26.513,
20240725,66,14,17.955,23.85,
20240725,66,15,12.934,20.917,
20240725,66,16,21.742,29.161,
20240725,66,17,17.476,23.838,
20240725,66,18,16.631,29.681,
20240725,66,19,18.39,19.842,
20240725,66,20,15.509,25.181,
20240725,66,21,18.062,32.263,
20240725,66,22,15.867,23.154,
20240725,66,23,19.842,25.764,
20240725,66,24,13.303,21.719,
20240725,66,25,14.575,19.928,
20240725,66,26,17.328,26.679,
20240725,66,27,16.748,25.845,
20240725,66,28,18.832,28.708,
20240725,66,29,15.995,24.416,
20240725,66,30,19.174,26.766,
20240725,66,31,18.883,22.813,
20240725,66,32,18.249,24.428,
20240725,66,33,15.907,20.788,
20240725,66,34,16.107,25.725,
20240725,66,35,18.353,27.201,
20240725,66,36,18.249,24.679,
20240725,66,37,14.432,28.736,
20240725,66,38,16.862,28.013,
20240725,66,39,21.034,33.493,
20240725,66,40,18.132,23.3,
20240729,37,1,17.42,28.074,
20240729,37,2,15.364,22.402,
20240729,37,3,19.972,24.827,
20240729,37,4,16.565,25.215,
20240729,37,5,19.073,31.473,
20240729,37,6,24.871,27.87,
20240729,37,7,19.007,22.852,
20240729,37,8,18.546,26.303,
20240729,37,9,17.705,25.455,
20240729,37,10,17.284,26.783,
20240729,37,11,18.788,20.436,
20240729,37,12,16.066,23.491,
20240729,37,13,20,23.13,
20240729,37,14,18.166,21.835,
20240729,37,15,15.675,23.961,
20240729,37,16,18.788,22.166,
20240729,37,17,22.595,24.422,
20240729,37,18,20.351,27.595,
20240729,37,19,16.828,30.758,
20240729,37,20,22.526,37.194,
20240729,37,21,21.913,32.069,
20240729,37,22,20.158,24.962,
20240729,37,23,18.682,25.075,
20240729,37,24,18.918,26.439,
20240729,37,25,16.826,21.059,
20240729,37,26,17.289,25.371,
20240729,37,27,16.237,28.223,
20240729,37,28,18.805,27.877,
20240729,37,29,18.362,30.153,
20240729,37,30,20.458,30.859,
20240729,37,31,17.11,24.644,
20240729,37,32,22.404,29.075,
20240729,37,33,16.001,33.296,
20240729,37,34,13.991,22.893,
20240729,37,35,17.475,28.483,
20240729,37,36,18.866,26.635,
20240729,37,37,17.988,31.361,
20240729,37,38,18.594,28.779,
20240729,37,39,16.058,24.862,
20240729,37,40,21.465,26.754,
20240731,30,1,16.44,26.831,
20240731,30,2,15.708,22.092,
20240731,30,3,15.286,20.996,
20240731,30,4,14.392,23.937,
20240731,30,5,15.521,22.484,
20240731,30,6,15.196,27.631,
20240731,30,7,13.217,22.743,
20240731,30,8,14.278,19.564,
20240731,30,9,17.45,27.966,
20240731,30,10,16.115,25.333,
20240731,30,11,17.978,25.087,
20240731,30,12,17.881,20.977,
20240731,30,13,14.403,19.65,
20240731,30,14,19.259,28.752,
20240731,30,15,16.563,24.103,
20240731,30,16,17.673,26.51,
20240731,30,17,14.426,25.555,
20240731,30,18,17.901,22.938,
20240731,30,19,15.904,23.636,
20240731,30,20,16.163,23.93,
20240731,30,21,18.4,21.781,
20240731,30,22,18.752,22.536,
20240731,30,23,17.827,22.466,
20240731,30,24,18.267,27.797,
20240731,30,25,17.639,25.184,
20240731,30,26,15.772,25.143,
20240731,30,27,16.074,20.361,
20240731,30,28,20.116,26.022,
20240731,30,29,17.591,21.139,
20240731,30,30,20.398,27.057,
20240731,30,31,15.627,21.637,
20240731,30,32,18.277,29.217,
20240731,30,33,19.244,31.922,
20240731,30,34,20.662,25.553,
20240731,30,35,21.366,30.118,
20240731,30,36,16.25,25.127,
20240731,30,37,17.18,27.274,
20240731,30,38,18.86,28.94,
20240731,30,39,19.202,26.817,
20240731,30,40,14.788,23.188,
20240801,75,1,17.097,19.976,
20240801,75,2,16.339,21.745,
20240801,75,3,17.728,22.68,
20240801,75,4,16.265,21.519,
20240801,75,5,16.805,23.868,
20240801,75,6,17.496,20.168,
20240801,75,7,16.03,22.493,
20240801,75,8,18.747,26.322,
20240801,75,9,17.014,20.512,
20240801,75,10,14.738,24.838,
20240801,75,11,14.69,26.779,
20240801,75,12,18.597,26.03,
20240801,75,13,17.724,21.449,
20240801,75,14,18.378,22.704,
20240801,75,15,15.631,26.128,
20240801,75,16,15.737,24.809,
20240801,75,17,16.601,23.753,
20240801,75,18,20.587,28.683,
20240801,75,19,15.974,23.791,
20240801,75,20,16.715,24.597,
20240801,75,21,17.316,21.131,
20240801,75,22,16.537,19.786,
20240801,75,23,20.778,26.89,
20240801,75,24,18.043,22.225,
20240801,75,25,14.71,25.548,
20240801,75,26,14.976,24.053,
20240801,75,27,15.051,23.621,
20240801,75,28,16.585,31.291,
20240801,75,29,15.359,21.318,
20240801,75,30,20.234,23.304,
20240801,75,31,14.617,23.283,
20240801,75,32,15.374,24.804,
20240801,75,33,21.706,27.566,
20240801,75,34,19.711,26.238,
20240801,75,35,20.017,34.596,
20240801,75,36,16.028,22.152,
20240801,75,37,14.869,23.978,
20240801,75,38,18.462,34.019,
20240801,75,39,22.237,29.851,
20240801,75,40,19.275,31.229,
20240805,50,1,16.751,21.305,
20240805,50,2,15.96,19.694,
20240805,50,3,14.982,25.612,
20240805,50,4,12.075,17.189,
20240805,50,5,19.121,21.3,
20240805,50,6,16.872,21.685,
20240805,50,7,12.381,23.971,
20240805,50,8,16.378,28.013,
20240805,50,9,16.642,23.323,
20240805,50,10,15.943,29.833,
20240805,50,11,16.114,24.226,
20240805,50,12,18.224,30.23,
20240805,50,13,16.422,24.9,
20240805,50,14,19.168,30.499,
20240805,50,15,20.438,24.866,
20240805,50,16,15.375,24.139,
20240805,50,17,17.409,24.021,
20240805,50,18,16.418,24.164,
20240805,50,19,12.788,24.971,
20240805,50,20,15.42,28.067,
20240805,50,21,15.381,24.421,
20240805,50,22,14.434,22.228,
20240805,50,23,15.344,26.007,
20240805,50,24,16.268,22.406,
