date,bag,sample,type,hardening,temperature,0,1,2,3,4
20240724,36,B1,blank,control,18C,28733,29960,30769,31121,32472
20240724,36,1,sample,control,18C,28168,28546,75160,139215,211385
20240724,36,2,sample,control,18C,28266,28997,45676,96420,161089
20240724,36,3,sample,control,18C,27719,90019,158552,232575,291023
20240724,36,4,sample,control,18C,28527,37248,45247,56558,64565
20240724,36,5,sample,control,18C,27336,37121,47573,59004,65072
20240724,36,21,sample,control,42C,28118,101405,149263,180579,202055
20240724,36,22,sample,control,42C,27041,44928,54561,59825,71551
20240724,36,23,sample,control,42C,27204,169174,208580,214501,266151
20240724,36,24,sample,control,42C,28012,46534,55761,61099,93437
20240724,36,25,sample,control,42C,28133,49878,60583,86877,90772
20240724,36,B4,blank,control,42C,27236,32761,31600,32633,32128
20240724,36,B2,blank,control,18C,28093,27850,28466,28691,28669
20240724,36,6,sample,control,18C,29071,30684,55587,72212,80192
20240724,36,7,sample,control,18C,28495,29258,47713,58072,66530
20240724,36,8,sample,control,18C,28305,67390,133736,193430,210765
20240724,36,9,sample,control,18C,27778,35772,44305,51061,59583
20240724,36,10,sample,control,18C,28037,39887,53783,71225,78581
20240724,36,26,sample,control,42C,28257,113061,142108,164586,180532
20240724,36,27,sample,control,42C,28612,48823,62021,67114,70166
20240724,36,28,sample,control,42C,27921,53510,67566,80402,104740
20240724,36,29,sample,control,42C,28738,50019,65404,71072,101480
20240724,36,30,sample,control,42C,28352,69889,102004,126418,131891
20240724,36,B5,blank,control,42C,27793,31448,30228,30511,30440
20240724,36,B3,blank,control,18C,27472,26677,28576,28576,28377
20240724,36,11,sample,control,18C,28409,51661,98550,151588,195078
20240724,36,12,sample,control,18C,28294,42191,49233,60580,120793
20240724,36,13,sample,control,18C,28438,60655,117008,171108,235775
20240724,36,14,sample,control,18C,28445,57980,106892,168343,218591
20240724,36,15,sample,control,18C,28408,49286,91981,148504,197979
20240724,36,31,sample,control,42C,28044,45339,54113,57692,58181
20240724,36,32,sample,control,42C,27605,46750,57101,62966,84062
20240724,36,33,sample,control,42C,28004,49228,63014,98366,122311
20240724,36,34,sample,control,42C,28442,46660,59119,64547,67017
20240724,36,35,sample,control,42C,27778,82582,93976,101220,103766
20240724,36,B6,blank,control,42C,27881,28729,28382,28560,28010
20240724,36,16,sample,control,18C,28555,36827,46136,127043,211165
20240724,36,17,sample,control,18C,28782,58726,109836,167661,213489
20240724,36,18,sample,control,18C,28284,34889,45498,52684,63715
20240724,36,19,sample,control,18C,28234,36402,44785,54305,60238
