plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-C-blue,A1,FALSE,blue,1,control,,,,,,104.746,1
plate-C-blue,A2,FALSE,blue,2,control,,,,,,102.152,2
plate-C-blue,A3,FALSE,blue,3,control,,,,,,84.599,3
plate-C-blue,A4,FALSE,blue,4,control,,,,,,59.243,4
plate-C-blue,A5,FALSE,blue,5,control,,,,,,86.103,5
plate-C-blue,A6,TRUE,,,,,,,,,,
plate-C-blue,B1,FALSE,blue,6,control,,,,,,97.581,7
plate-C-blue,B2,FALSE,blue,7,control,,,,,,76.055,8
plate-C-blue,B3,FALSE,blue,8,control,,,,,,128.117,6
plate-C-blue,B4,FALSE,blue,9,control,,,,,,58.377,10
plate-C-blue,B5,FALSE,blue,10,control,,,,,,85.486,11
plate-C-blue,B6,TRUE,,,,,,,,,,
plate-C-blue,C1,FALSE,blue,11,control,,,,,,58.715,15
plate-C-blue,C2,FALSE,blue,12,control,,,,,,97.032,12
plate-C-blue,C3,FALSE,blue,13,control,,,,,,82.621,13
plate-C-blue,C4,FALSE,blue,14,control,,,,,,87.409,14
plate-C-blue,C5,FALSE,blue,15,control,,,,,,63.604,16
plate-C-blue,C6,TRUE,,,,,,,,,,
plate-C-blue,D1,FALSE,blue,16,control,,,,,,74.513,21
plate-C-blue,D2,FALSE,blue,17,control,,,,,,94.415,20
plate-C-blue,D3,FALSE,blue,18,control,,,,,,81.083,18
plate-C-blue,D4,FALSE,blue,19,control,,,,,,86.881,17
plate-C-blue,D5,FALSE,blue,20,control,,,,,,63.532,19
plate-C-blue,D6,TRUE,,,,,,,,,,
plate-C-red,A1,FALSE,tweed,21,control,,,,,,71.994,4
plate-C-red,A2,FALSE,tweed,22,control,,,,,,72.805,1
plate-C-red,A3,FALSE,tweed,23,control,,,,,,66.354,5
plate-C-red,A4,FALSE,tweed,24,control,,,,,,61.983,3
plate-C-red,A5,FALSE,tweed,25,control,,,,,,74.882,2
plate-C-red,A6,TRUE,,,,,,,,,,
plate-C-red,B1,FALSE,tweed,26,control,,,,,,82.164,10
plate-C-red,B2,FALSE,tweed,27,control,,,,,,99.605,8
plate-C-red,B3,FALSE,tweed,28,control,,,,,,79.645,7
plate-C-red,B4,FALSE,tweed,29,control,,,,,,58.412,6
plate-C-red,B5,FALSE,tweed,30,control,,,,,,73.746,9
plate-C-red,B6,TRUE,,,,,,,,,,
plate-C-red,C1,FALSE,tweed,31,control,,,,,,81.913,15
