plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_mm2.measurement,imageJ_ID
plate-A,A01,,,1,,,,,,
plate-A,A02,,,2,,,,,,
plate-A,A03,,,3,,,,,,
plate-A,A04,,,4,,,,,,
plate-A,B01,,,5,,,,,,
plate-A,B02,,,6,,,,,,
plate-A,B03,,,7,,,,,,
plate-A,B04,,,8,,,,,,
plate-A,C01,,,9,,,,,,
plate-A,C02,,,10,,,,,,
plate-A,C03,,,11,,,,,,
plate-A,C04,,,,,,,,,
plate-B,A01,,,12,,,,,,
plate-B,A02,,,13,,,,,,
plate-B,A03,,,14,,,,,,
plate-B,A04,,,15,,,,,,
plate-B,B01,,,16,,,,,,
plate-B,B02,,,17,,,,,,
plate-B,B03,,,18,,,,,,
plate-B,B04,,,19,,,,,,
plate-B,C01,,,20,,,,,,
plate-B,C02,,,21,,,,,,
plate-B,C03,,,,,,,,,
plate-B,C04,,,22,,,,,,
plate-C,A01,,,23,,,,,,
plate-C,A02,,,24,,,,,,
plate-C,A03,,,25,,,,,,
plate-C,A04,,,26,,,,,,
plate-C,B01,,,27,,,,,,
plate-C,B02,,,28,,,,,,
plate-C,B03,,,29,,,,,,
plate-C,B04,,,30,,,,,,
plate-C,C01,,,,,,,,,
plate-C,C02,,,31,,,,,,
plate-C,C03,,,32,,,,,,
plate-C,C04,,,33,,,,,,
plate-D,A01,,,34,,,,,,
plate-D,A02,,,35,,,,,,
plate-D,A03,,,36,,,,,,
plate-D,A04,,,37,,,,,,
plate-D,B01,,,38,,,,,,
plate-D,B02,,,39,,,,,,
plate-D,B03,,,40,,,,,,
plate-D,B04,,,41,,,,,,
plate-D,C01,,,42,,,,,,
plate-D,C02,,,,,,,,,
plate-D,C03,,,43,,,,,,
plate-D,C04,,,44,,,,,,
plate-E,A01,,,45,,,,,,
plate-E,A02,,,46,,,,,,
plate-E,A03,,,47,,,,,,
plate-E,A04,,,48,,,,,,
plate-E,B01,,,49,,,,,,
plate-E,B02,,,50,,,,,,
plate-E,B03,,,51,,,,,,
plate-E,B04,,,52,,,,,,
plate-E,C01,,,,,,,,,
plate-E,C02,,,53,,,,,,
plate-E,C03,,,54,,,,,,
plate-E,C04,,,55,,,,,,
plate-F,A01,,,56,,,,,,
plate-F,A02,,,57,,,,,,
plate-F,A03,,,58,,,,,,
plate-F,A04,,,59,,,,,,
plate-F,B01,,,60,,,,,,
plate-F,B02,,,61,,,,,,
plate-F,B03,,,62,,,,,,
plate-F,B04,,,63,,,,,,
plate-F,C01,,,64,,,,,,
plate-F,C02,,,,,,,,,
plate-F,C03,,,65,,,,,,
plate-F,C04,,,66,,,,,,
