row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,sample_id_group,storage,value_t0,fold_change,trace_id
A,1,A1,239,f,0,FALSE,FALSE,NA,1,ice,239,1,f_1
A,2,A2,229,f,0,FALSE,FALSE,NA,2,ice,229,1,f_2
A,3,A3,258,f,0,FALSE,FALSE,NA,3,ice,258,1,f_3
B,1,B1,275,f,0,FALSE,FALSE,NA,5,ice,275,1,f_5
B,2,B2,270,f,0,FALSE,FALSE,NA,6,ice,270,1,f_6
B,3,B3,207,f,0,FALSE,FALSE,NA,7,ice,207,1,f_7
C,1,C1,266,f,0,FALSE,FALSE,NA,9,ice,266,1,f_9
C,2,C2,335,f,0,FALSE,FALSE,NA,10,ice,335,1,f_10
C,3,C3,197,f,0,FALSE,FALSE,NA,11,ice,197,1,f_11
A,1,A1,238,f,1,FALSE,FALSE,NA,1,ice,239,0.99581589958159,f_1
A,2,A2,229,f,1,FALSE,FALSE,NA,2,ice,229,1,f_2
A,3,A3,255,f,1,FALSE,FALSE,NA,3,ice,258,0.9883720930232558,f_3
B,1,B1,272,f,1,FALSE,FALSE,NA,5,ice,275,0.9890909090909091,f_5
B,2,B2,266,f,1,FALSE,FALSE,NA,6,ice,270,0.9851851851851852,f_6
B,3,B3,205,f,1,FALSE,FALSE,NA,7,ice,207,0.9903381642512077,f_7
C,1,C1,263,f,1,FALSE,FALSE,NA,9,ice,266,0.9887218045112782,f_9
C,2,C2,329,f,1,FALSE,FALSE,NA,10,ice,335,0.982089552238806,f_10
C,3,C3,194,f,1,FALSE,FALSE,NA,11,ice,197,0.9847715736040609,f_11
A,1,A1,237,f,2,FALSE,FALSE,NA,1,ice,239,0.9916317991631799,f_1
A,2,A2,226,f,2,FALSE,FALSE,NA,2,ice,229,0.9868995633187773,f_2
A,3,A3,255,f,2,FALSE,FALSE,NA,3,ice,258,0.9883720930232558,f_3
B,1,B1,272,f,2,FALSE,FALSE,NA,5,ice,275,0.9890909090909091,f_5
B,2,B2,265,f,2,FALSE,FALSE,NA,6,ice,270,0.9814814814814815,f_6
B,3,B3,204,f,2,FALSE,FALSE,NA,7,ice,207,0.9855072463768116,f_7
C,1,C1,261,f,2,FALSE,FALSE,NA,9,ice,266,0.981203007518797,f_9
C,2,C2,327,f,2,FALSE,FALSE,NA,10,ice,335,0.9761194029850746,f_10
C,3,C3,192,f,2,FALSE,FALSE,NA,11,ice,197,0.9746192893401016,f_11
A,1,A1,251,f,25,FALSE,FALSE,NA,1,ice,239,1.0502092050209204,f_1
A,2,A2,240,f,25,FALSE,FALSE,NA,2,ice,229,1.0480349344978166,f_2
A,3,A3,273,f,25,FALSE,FALSE,NA,3,ice,258,1.058139534883721,f_3
B,1,B1,292,f,25,FALSE,FALSE,NA,5,ice,275,1.0618181818181818,f_5
B,2,B2,284,f,25,FALSE,FALSE,NA,6,ice,270,1.0518518518518518,f_6
B,3,B3,217,f,25,FALSE,FALSE,NA,7,ice,207,1.0483091787439613,f_7
C,1,C1,279,f,25,FALSE,FALSE,NA,9,ice,266,1.0488721804511278,f_9
C,2,C2,352,f,25,FALSE,FALSE,NA,10,ice,335,1.0507462686567164,f_10
C,3,C3,204,f,25,FALSE,FALSE,NA,11,ice,197,1.0355329949238579,f_11
A,1,A1,239,f,6,FALSE,FALSE,NA,1,ice,239,1,f_1
A,2,A2,228,f,6,FALSE,FALSE,NA,2,ice,229,0.9956331877729258,f_2
A,3,A3,256,f,6,FALSE,FALSE,NA,3,ice,258,0.9922480620155039,f_3
B,1,B1,275,f,6,FALSE,FALSE,NA,5,ice,275,1,f_5
B,2,B2,270,f,6,FALSE,FALSE,NA,6,ice,270,1,f_6
B,3,B3,206,f,6,FALSE,FALSE,NA,7,ice,207,0.9951690821256038,f_7
C,1,C1,267,f,6,FALSE,FALSE,NA,9,ice,266,1.0037593984962405,f_9
C,2,C2,332,f,6,FALSE,FALSE,NA,10,ice,335,0.991044776119403,f_10
C,3,C3,194,f,6,FALSE,FALSE,NA,11,ice,197,0.9847715736040609,f_11
A,1,A1,251,f,96,FALSE,FALSE,NA,1,ice,239,1.0502092050209204,f_1
A,2,A2,243,f,96,FALSE,FALSE,NA,2,ice,229,1.0611353711790392,f_2
A,3,A3,304,f,96,FALSE,FALSE,NA,3,ice,258,1.178294573643411,f_3
B,1,B1,280,f,96,FALSE,FALSE,NA,5,ice,275,1.018181818181818,f_5
B,2,B2,288,f,96,FALSE,FALSE,NA,6,ice,270,1.0666666666666667,f_6
B,3,B3,224,f,96,FALSE,FALSE,NA,7,ice,207,1.0821256038647342,f_7
C,1,C1,279,f,96,FALSE,FALSE,NA,9,ice,266,1.0488721804511278,f_9
C,2,C2,359,f,96,FALSE,FALSE,NA,10,ice,335,1.0716417910447762,f_10
C,3,C3,204,f,96,FALSE,FALSE,NA,11,ice,197,1.0355329949238579,f_11
A,1,A1,238,n,0,FALSE,FALSE,NA,1,room_temp,238,1,n_1
A,2,A2,234,n,0,FALSE,FALSE,NA,2,room_temp,234,1,n_2
A,3,A3,261,n,0,FALSE,FALSE,NA,3,room_temp,261,1,n_3
B,1,B1,275,n,0,FALSE,FALSE,NA,5,room_temp,275,1,n_5
B,2,B2,258,n,0,FALSE,FALSE,NA,6,room_temp,258,1,n_6
C,1,C1,257,n,0,FALSE,FALSE,NA,9,room_temp,257,1,n_9
C,2,C2,337,n,0,FALSE,FALSE,NA,10,room_temp,337,1,n_10
C,3,C3,206,n,0,FALSE,FALSE,NA,11,room_temp,206,1,n_11
A,1,A1,242,n,1,FALSE,FALSE,NA,1,room_temp,238,1.0168067226890756,n_1
A,2,A2,232,n,1,FALSE,FALSE,NA,2,room_temp,234,0.9914529914529915,n_2
A,3,A3,263,n,1,FALSE,FALSE,NA,3,room_temp,261,1.0076628352490422,n_3
B,1,B1,276,n,1,FALSE,FALSE,NA,5,room_temp,275,1.0036363636363637,n_5
B,2,B2,259,n,1,FALSE,FALSE,NA,6,room_temp,258,1.003875968992248,n_6
C,1,C1,259,n,1,FALSE,FALSE,NA,9,room_temp,257,1.0077821011673151,n_9
C,2,C2,338,n,1,FALSE,FALSE,NA,10,room_temp,337,1.002967359050445,n_10
C,3,C3,205,n,1,FALSE,FALSE,NA,11,room_temp,206,0.9951456310679612,n_11
A,1,A1,243,n,2,FALSE,FALSE,NA,1,room_temp,238,1.0210084033613445,n_1
A,2,A2,235,n,2,FALSE,FALSE,NA,2,room_temp,234,1.0042735042735043,n_2
A,3,A3,262,n,2,FALSE,FALSE,NA,3,room_temp,261,1.003831417624521,n_3
B,1,B1,277,n,2,FALSE,FALSE,NA,5,room_temp,275,1.0072727272727273,n_5
B,2,B2,258,n,2,FALSE,FALSE,NA,6,room_temp,258,1,n_6
C,1,C1,259,n,2,FALSE,FALSE,NA,9,room_temp,257,1.0077821011673151,n_9
C,2,C2,342,n,2,FALSE,FALSE,NA,10,room_temp,337,1.0148367952522255,n_10
C,3,C3,206,n,2,FALSE,FALSE,NA,11,room_temp,206,1,n_11
A,1,A1,254,n,25,FALSE,FALSE,NA,1,room_temp,238,1.0672268907563025,n_1
A,2,A2,247,n,25,FALSE,FALSE,NA,2,room_temp,234,1.0555555555555556,n_2
A,3,A3,281,n,25,FALSE,FALSE,NA,3,room_temp,261,1.0766283524904214,n_3
B,1,B1,292,n,25,FALSE,FALSE,NA,5,room_temp,275,1.0618181818181818,n_5
B,2,B2,272,n,25,FALSE,FALSE,NA,6,room_temp,258,1.054263565891473,n_6
